tag_id,chinese,english
841,建筑,architecture
8,钢琴,piano
27,鸟,bird
2566,生活,Life
9,纹身,tattoo
773,树,Tree
26,摄影,photography
2413,卖衣服,sell clothes
5,狗,dog
121,明星,star
6,猫,cat
381,电影黑条,movie black bars
19,猴子,monkey
2624,正面,front
1313,面条,Noodle
12,美食,gourmet food
2139,自拍脸,selfie face
11,生活,Life
339,服装店,clothing store
818,截图,screenshot
2625,侧面,side
837,海边_沙滩,seaside_beach
7,吉他,Guitar
2701,摩托车,motorcycle
18,汽车,car
1322,天空,Sky
2335,话筒,microphone
2,小鲜肉,Little fresh meat
849,游乐场,playground
1047,果蔬,fruits and vegetables
806,一盘菜,a dish
854,室内,indoor
340,瘦身操,Slimming exercise
2522,祝福,bless
1332,人群聚集,crowd gathering
2822,汉服,Hanfu
20,火锅,hot pot
1123,镜子,Mirror
956,穿戴,wear
848,操场,playground
1,女-清纯,Female-pure
2772,女青年,young woman
2773,壮年男,prime male
2771,男青年,young men
2505,明星,star
2803,听书,Listen to books
28,蛇,snake
2550,婚礼,wedding
2449,减肥,lose weight
2138,穿衣秀,dress show
2810,国外,foreign
25,摩托车,motorcycle
2699,手势舞,hand dance
2462,眼妆,eye makeup
4,美妆,Beauty
2464,穿搭,Outfit
900,动漫,cartoon
2451,球类运动,ball games
835,日出_日落,sunrise_sunset
2707,绘画,painting
15,才艺,Talent
1009,床,bed
1022,游戏,game
3,游戏,game
2504,网红,internet celebrity
941,人-女,person-female
2458,化妆,make up
859,教室,classroom
2445,段子,jokes
2796,自行车,bike
812,女-清纯-户外,Female-pure-outdoor
444,女-半身,Female-half body
14,教育,educate
2419,创业广告,Entrepreneurship Advertising
2437,舞蹈,dance
2711,家庭关系,family relations
2395,数学教学,mathematics teaching
2526,机车,locomotive
1038,拳击,boxing
1015,毛绒玩具,stuffed toys
1400,旅游景点,tourist attractions
1106,气球,balloon
2491,面食,pasta
771,舞龙舞狮,dragon dance and lion dance
10,旅游,travel
359,文字控,text control
857,电梯,elevator
22,财经,Finance
2744,瑜伽,Yoga
372,水塘_池塘,pond_pond
13,三农,Sannong
1186,食物,food
17,动物,animal
2623,背面,back
2480,影视介绍,Film and television introduction
2412,卖鞋,selling shoes
2398,法律知识,legal knowledge
2471,吃鸡游戏,Chicken game
980,跳舞,Dance
2767,男孩,boy
1098,温馨,Warmth
1079,烹饪教程,Cooking Tutorial
2159,玩泥,play in mud
1103,清晰,clear
2768,女孩,girl
2001,婴儿,baby
2717,个性定制,Personalized customization
151,车饰,car accessories
2492,烧烤,barbecue
2408,健康,healthy
1167,吃播,Eat broadcast
1118,酒,liquor
16,健康,healthy
1187,唱歌,Sing
2496,饮料,drinks
137,工厂,factory
897,段子,jokes
2259,饼,cake
23,马,horse
866,水饺,Dumplings
2680,文玩珠宝广告,Wenwan jewelry advertising
102,海鲜,seafood
-124,UNKNOWN,UNKNOWN
2704,美妆广告,beauty ads
856,健身房,Gym
2459,美发,hairdressing
138,情侣,couple
2487,谷物,cereals
423,手机,cell phone
283,舞台,stage
995,物体,object
144,牛,ox
2718,爱情,love
1004,窗帘,curtain
777,头巾_帽子,headscarf_hat
2448,体育运动,sports
34,猪,pig
391,女-美腿,Female-beautiful legs
366,挖掘机,excavator
433,谷物丰收,Grain harvest
124,化妆,make up
142,小孩,Child
839,户外,outdoor
278,泳池,swimming pool
282,山水风景,landscape
2220,篮球场,basketball court
1401,娱乐场所,entertainment venues
765,直播截图,Live screenshot
2242,柠檬,lemon
30,唢呐,suona
2530,事故,ACCIDENT
